ISO3,Pop,COUNTRY,bovinepppd,shoatpppd,pigpppd,poultrypppd,birdpppd,horsepppd,assespppd,mulespppd,camelpppd,rabbitpppd,rodentspppd,camelidspppd,gamepppd,driednespppd,nespppd,snailpppd,gamepcpa,allmeatpppd,allmeatpcpa,percent_game_pppd,percent_game_pcpa
AFG,38928346,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
BMU,62278,Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
KHM,16718965,Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
TCD,16425864,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
GAB,2225734,Gabon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
KIR,119449,Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
LSO,2142249,Lesotho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
LBR,5057681,Liberia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
MMR,54409800,Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NDA,227049,Netherlands Antilles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
PRK,25778816,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
WSM,198414,Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
STP,219159,Sao Tome and Principe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
SLE,7976983,Sierra Leone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
SLB,686884,Solomon Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
SOM,15893222,Somalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
TLS,1318445,Timor-Leste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
TGO,8278724,Togo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
TKM,6031200,Turkmenistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
UGA,45741007,Uganda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
VUT,307145,Vanuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
VNM,97338579,Viet Nam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
ZMB,18383955,Zambia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
CIV,26378274,Cote d'Ivoire,0.53164,0.24139,0.31924,0.61004,NA,8.4625e-4,NA,NA,NA,3.05e-5,NA,NA,6.0995,0,0.50185,0.0047772,58766636.596560754,8.30931395,80057452.78570093,73.40557880834434,73.40557880834433
BWA,2351627,Botswana,2.2981,1.388,0.17866,1.7454,NA,0,NA,NA,NA,0.29485,NA,NA,9.7246,0,0.22669,NA,8352767.810314051,15.856300000000001,13619479.693836527,61.329566166129545,61.329566166129545
COG,5518087,Congo,0.76602,0.14199,0.73513,7.5543,NA,NA,NA,NA,NA,1.4007e-4,NA,NA,8.0824,0,8.53e-5,NA,16289925.8712042,17.28006537,34827648.214251064,46.7729712066477,46.77297120664769
CMR,26545863,Cameroon,1.5549,0.62122,0.57405,1.1252,NA,0.0082824,NA,NA,NA,0.0026853,NA,NA,2.618,4.5222e-4,5.11e-5,NA,25383804.574243497,6.50484102,63070134.92673902,40.24694826438663,40.24694826438663
RWA,12952218,Rwanda,0.89465,0.29818,0.2138,0.07456,NA,0,NA,NA,NA,0.1147,NA,NA,0.98654,1.9078e-4,0,NA,4667121.08847423,2.58262078,12217856.251008337,38.199181530631066,38.199181530631066
GHA,31072940,Ghana,0.33728,0.63187,0.33096,2.7147,NA,NA,NA,NA,NA,0,NA,NA,2.4932,1.7131e-4,0.654,NA,28296302.476422,7.16218131,81286398.49941295,34.81062391591424,34.81062391591424
ETH,114963588,Ethiopia,1.3005,0.55022,0.0058576,0.20335,NA,0,NA,NA,NA,NA,NA,NA,0.79195,0,0,NA,33254337.28693815,2.8518776,119751625.24334072,27.76942460644174,27.769424606441735
ZWE,14862924,Zimbabwe,2.1895,0.35498,0.823,2.2673,NA,NA,NA,NA,NA,NA,NA,NA,2.1336,0,0.023943,NA,11582638.0295976,7.792323,42302051.330478095,27.38079517494334,27.38079517494334
CAF,4829767,Central African Republic,5.6709,1.885,1.1715,0.4677,NA,0,NA,NA,NA,0,NA,NA,3.7551,0,0.95854,NA,6624268.257035926,13.90874,24536024.307572592,26.998132109738194,26.998132109738197
NER,24206644,Niger,2.4781,1.4803,0.026359,0.35247,NA,0.029992,NA,NA,NA,NA,NA,NA,1.3872,6.44e-5,0,NA,12264896.5073712,5.7544854,50878148.705434375,24.10641271242082,24.10641271242082
NGA,206139589,Nigeria,0.66884,1.001,0.43346,0.62021,NA,NA,NA,NA,NA,NA,NA,NA,0.82683,1.29e-5,0,NA,62254085.27519076,3.5503529,267314892.04990244,23.2886708248073,23.288670824807305
GMB,2416668,Gambia,0.64883,0.27334,0.10837,1.4675,NA,0,NA,NA,NA,0,NA,NA,0.61446,0,0,NA,542376.46049202,3.1125000000000003,2747366.3595375,19.74168674698795,19.741686746987952
NAM,2540905,Namibia,2.7268,1.8956,1.028,3.3688,1.0079,5.2843e-4,NA,NA,NA,0.10299,NA,NA,2.4033,0,6.4986e-4,NA,2230419.9393191254,12.53456829,11632901.02973962,19.173376732227293,19.173376732227293
MLI,20250833,Mali,2.9698,3.0812,0.055647,0.9964,NA,0.10162,NA,NA,NA,NA,NA,NA,1.3692,7.37e-5,0,NA,10127447.6585499,8.5739407,63418153.422992036,15.969319685171138,15.969319685171135
GIN,13132795,Guinea,1.3634,0.46858,0.07322,0.5287,NA,NA,NA,NA,NA,NA,NA,NA,0.43278,0,0,NA,2075938.925091525,2.8666799999999997,13750756.961461648,15.09690652601616,15.09690652601616
TZA,59734218,United Republic of Tanzania,1.6207,0.43308,0.09958,0.69815,NA,0,NA,NA,NA,0,NA,NA,0.37731,9.17e-5,7.77e-6,NA,8232120.574105095,3.22891947,70448316.77166128,11.685333236260611,11.685333236260613
KEN,53771296,Kenya,3.1155,0.72771,0.076149,0.20674,NA,0,NA,NA,NA,0.041397,NA,NA,0.51525,0,0,NA,10119492.411425998,4.682746,91968971.58978255,11.003159257410076,11.003159257410072
BEN,12123200,Benin,0.90608,0.30528,0.26652,4.2127,NA,0,NA,NA,NA,0.0015127,NA,NA,0.68129,0.0033695,7.0006e-4,NA,3016751.302452,6.37745226,28239350.95433729,10.682792629795397,10.682792629795395
MAR,36910560,Morocco,1.765,1.8978,0.007275,6.5268,NA,0.032903,NA,NA,NA,NA,NA,NA,0.89328,5.07e-5,0,0.20638,12042827.604691198,11.329488699999999,152739431.3803029,7.884557049781073,7.884557049781074
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
BFA,20903273,Burkina Faso,2.2495,1.1821,0.58283,0.81338,NA,0.013446,NA,NA,NA,NA,NA,NA,0.33325,0,0,NA,2544337.2443780624,5.174506,39506941.746609904,6.440228303919253,6.440228303919253
MDG,27691018,Madagascar,2.1895,0.20944,0.77906,1.1387,NA,1.703e-4,NA,NA,NA,0.019654,NA,NA,0.27661,0,0,NA,2797673.461599945,4.6131343,46657906.09850127,5.996140194747854,5.996140194747854
SWE,10099265,Sweden,6.5057,0.49175,9.2004,5.0818,NA,0.10215,NA,NA,NA,8.7202e-4,NA,NA,1.2017,0.11759,0.02639,NA,4432778.735620125,22.72835202,83839357.18560766,5.287228915420504,5.287228915420503
NZL,4822233,New Zealand,12.8096,7.4746,4.7093,11.4792,NA,0.16251,NA,NA,NA,0,NA,NA,1.9008,0,0.24653,NA,3347918.2026576004,38.78254,68308486.74836725,4.90117460073528,4.90117460073528
ZAF,59308690,South Africa,4.5247,1.1856,1.315,11.7941,NA,0.024598,NA,NA,NA,0,NA,NA,0.71549,0,0,NA,15499301.425608525,19.559488,423707389.6806005,3.6580200872333664,3.6580200872333672
AGO,32866272,Angola,2.0323,0.38693,2.3196,5.1853,NA,NA,NA,NA,NA,NA,NA,NA,0.36732,NA,NA,NA,4409458.3560873605,10.29145,123542742.5643996,3.569176355129744,3.569176355129744
PER,32971854,Peru,1.3273,0.35671,1.1388,3.6039,NA,0,NA,NA,NA,0.056355,0.22596,NA,0.19438,0.0033537,0,NA,2340912.4451349303,6.9067587,83177885.56628229,2.8143447374236485,2.8143447374236485
ARG,45195774,Argentina,17.2397,0.51251,3.0732,11.037,NA,0.093184,NA,NA,NA,0.050653,NA,NA,0.82402,0,2.4092e-4,NA,13602721.472813068,32.83050792,541958028.988063,2.509921570534142,2.5099215705341416
SDN,43849260,Sudan (former),2.2723,3.8729,NA,0.33891,NA,0,NA,NA,NA,NA,NA,NA,0.18741,0,0.36985,NA,3001547.73051315,7.04137,112774175.03443456,2.6615559188055733,2.6615559188055733
DEU,83783942,Germany,3.5972,0.32055,12.9688,5.8091,NA,0.023009,NA,NA,NA,0.2752,NA,NA,0.59686,0.59477,9.6874e-4,NA,18265160.342979327,24.186457739999998,740156031.1459863,2.467744580112292,2.467744580112292
MUS,1271768,Mauritius,1.715,1.4909,0.96358,12.9091,NA,NA,NA,NA,NA,0.013417,NA,NA,0.4215,0.0025822,8.7534e-4,NA,195792.33993299998,17.51695454,8136857.693681111,2.4062401888267955,2.4062401888267955
NOR,5421241,Norway,5.1389,1.8541,5.7036,5.5537,NA,0.051088,NA,NA,NA,0.025444,NA,NA,0.41176,0.01382,0.20947,NA,815329.38341694,18.961882,37546579.46251402,2.1715144098038373,2.1715144098038373
DNK,5792202,Denmark,7.9586,0.34969,4.4256,8.2207,NA,0.018395,NA,NA,NA,0.0030545,NA,NA,0.45904,0.75462,0.0014275,NA,971145.84132072,22.191127,46947587.79250163,2.068574525304641,2.068574525304641
CHE,8654622,Switzerland,5.7873,0.55732,8.0946,5.2563,NA,0.4278,NA,NA,NA,0.22736,NA,NA,0.42209,0.13566,0.0087811,NA,1334268.988342695,20.9172111,66121410.346958205,2.0179076358798143,2.017907635879814
AUT,9006398,Austria,4.6654,0.41162,16.3614,6.2035,NA,0.029326,NA,NA,NA,0.035761,NA,NA,0.52131,0.083339,0.0019503,NA,1714894.530939045,28.3136063,93140067.51267248,1.841199579016538,1.8411995790165379
USA,331002651,United States of America,9.9657,0.1457,6.773,16.6289,NA,0.048949,NA,NA,NA,0.0012825,NA,NA,0.444,0,0,NA,53679030.915321,34.0075315,4111466970.1402087,1.305593144859691,1.305593144859691
CYP,1207359,Cyprus,1.8753,1.9634,9.3023,8.5925,0.13929,0,NA,NA,NA,0.3767,NA,NA,0.28311,0.42965,4.7498e-4,NA,124848.07722047248,22.96272498,10126283.287398938,1.2329111647096858,1.2329111647096855
PRT,10196709,Portugal,4.4636,0.87423,9.8818,9.4265,NA,0.010451,NA,NA,NA,0.093453,NA,NA,0.29051,0.071994,0.0010513,NA,1081960.3265132476,25.1135893,93531745.13423842,1.1567840682972386,1.1567840682972386
IRN,83992949,Iran (Islamic Republic of),1.5524,1.2421,0,8.3856,NA,NA,NA,NA,NA,NA,NA,NA,0.10502,0,0,NA,3221848.153828695,11.285120000000001,346209703.27304596,0.9306059660863154,0.9306059660863153
LUX,625978,Luxembourg,8.0016,0.71031,10.3159,7.8102,NA,0.061328,NA,NA,NA,0.32363,NA,NA,0.23853,0.066209,0.050382,NA,54537.13293718501,27.578089,6305411.92280434,0.8649257749512665,0.8649257749512668
ROU,19237691,Romania,1.7542,1.0964,6.8845,4.862,NA,0.10127,NA,NA,NA,0.0059051,NA,NA,0.127,0.092581,0.0041897,NA,892373.96299425,14.9280458,104892908.585084,0.8507476578079631,0.8507476578079631
SVK,5459642,Slovakia,1.208,0.047354,8.4171,5.3048,NA,0.011634,NA,NA,NA,0.40169,NA,NA,0.084901,1.3876,0.16219,NA,169303.99115269052,17.025268999999998,33950671.86662319,0.49867640857833145,0.49867640857833145
BEL,11589623,Belgium,4.3452,0.54275,8.5117,7.4061,NA,0.34181,NA,NA,NA,0.0033936,NA,NA,0.10164,0.22348,0.023137,NA,430253.28014822997,21.4992106,91008519.09924829,0.4727615440912979,0.4727615440912979
NLD,17134872,Netherlands,4.0304,0.35333,8.2377,4.0053,NA,3.52e-5,NA,NA,NA,0,NA,NA,0.10687,7.2281,0.021966,NA,668847.17722626,23.983701200000002,150102281.71664703,0.44559427716686195,0.4455942771668619
URY,3473730,Uruguay,8.1743,2.4109,4.5384,7.4237,NA,0.25932,NA,NA,NA,0.046032000000000003,NA,NA,0.10034,0,1.5184e-4,NA,127309.37341004999,22.95314384,29122487.1443208,0.4371514451329296,0.43715144513292953
TUN,11818619,Tunisia,1.4959,2.0362,0,4.4288,NA,0.027249,NA,NA,NA,NA,NA,NA,0.027199,0,0.31415,0.041021,117411.29929061026,8.370519,36133442.829763584,0.324938035502936,0.324938035502936
POL,37846611,Poland,0.6538,0.018213,12.4256,7.0117,NA,0.013007,NA,NA,NA,0.041696,NA,NA,0.062168,0,0.017623,NA,859377.773144682,20.243807,279839753.2433201,0.3070963875520054,0.3070963875520054
FIN,5540720,Finland,5.0878,0.21127,8.4317,5.8802,NA,0.2984,NA,NA,NA,3.058e-4,NA,NA,0.051897,0.30339,0.36191,NA,105026.44891805999,20.6268728,41743592.16271695,0.2515989723851887,0.25159897238518864
ESP,46754778,Spain,3.5058,0.99079,11.7272,8.7315,NA,0.033468,NA,NA,NA,0.74809,NA,NA,0.056351,0.15156,3.0469e-4,NA,962316.3203272393,25.94506369,443068591.87621635,0.21719353119845816,0.21719353119845816
GBR,67886011,United Kingdom,5.0474,1.7047,6.4723,9.9599,NA,0.0082169,NA,NA,NA,7.893e-4,NA,NA,0.047201,1.1085,0.0010472,NA,1170366.047803318,24.350054399999998,603768499.2250967,0.1938435094420159,0.1938435094420159
FRA,65273511,France,6.8205,1.2021,8.1164,7.461,NA,0.16071,NA,NA,NA,0.45183,NA,NA,0.047379,0.24205,1.0144,NA,1129569.8407686022,25.516369,608339578.0477195,0.18568080748479532,0.18568080748479532
CZE,10708981,Czech Republic,1.9614,0.091065,10.9682,7.4643,NA,0.01944,NA,NA,NA,1.9869,NA,NA,0.038646,0.61603,0.00115,NA,151162.1019199215,23.147130999999998,90538968.46700238,0.16695805627055899,0.16695805627055899
ITA,60461826,Italy,5.7927,0.42619,9.7291,5.8641,0.032963,0.40883,NA,NA,NA,2.3162,NA,NA,0.040578,0.040441,0.25558,NA,896111.646025077,24.906682,550031243.6306164,0.16292013524724008,0.16292013524724008
IRL,4937786,Ireland,6.1586,1.0199,7.8667,6.9309,NA,0,NA,NA,NA,0,NA,NA,0.029098,0.16267,0.19029,NA,52479.009339476994,22.358158,40323526.78862817,0.1301448893956291,0.1301448893956291
LTU,2722289,Lithuania,0.98204,0.076495,10.9973,7.5483,NA,0.0080858,NA,NA,NA,0.020753,NA,NA,0.022819,0.33617,0.057343,NA,22689.29811038775,20.0493058,19935346.693655554,0.11381441446217054,0.11381441446217057
SEN,16743927,Senegal,1.5092,1.0188,0.25481,1.4268,NA,0.31871,NA,NA,NA,0,NA,NA,0.0041859,1.5948e-4,0.1784,NA,25599.789571701825,4.71106538,28811553.64115949,0.08885251344145007,0.08885251344145004
SVN,2078938,Slovenia,5.2923,0.33512,8.9773,7.6097,NA,0.11198,NA,NA,NA,0.017316,NA,NA,0.018912,0.022091,0.030361,NA,14360.488760304,22.41508,17020489.868935857,0.08437177114692432,0.08437177114692432
